"","Probeset_ID","t_stats","p_value","adjust_p"
"1552309_a_at.t","1552309_a_at",17.9350937694473,3.74608493926623e-32,4.48066878282546e-31
"1552365_at.t","1552365_at",-4.43068882840566,2.06442315461609e-05,3.16696578127979e-05
"1552367_a_at.t","1552367_a_at",-4.98345474906815,1.97702308014018e-06,3.22688948368295e-06
"1552455_at.t","1552455_at",-4.12903593279792,6.68980463704785e-05,0.000100118190609191
"1552502_s_at.t","1552502_s_at",-7.70317589823953,5.6392499906693e-12,1.22812115728516e-11
"1552767_a_at.t","1552767_a_at",2.35313788759316,0.0201617391249217,0.0256802184694302
"1552797_s_at.t","1552797_s_at",-3.48386737588637,0.000693322828764715,0.000975622473197406
"1552834_at.t","1552834_at",-10.1816382274156,3.56518097212583e-18,1.22109442244399e-17
"1552848_a_at.t","1552848_a_at",4.44996507399623,2.44357873928915e-05,3.72621419307938e-05
"1552870_s_at.t","1552870_s_at",-6.22629548548703,6.71525813897788e-09,1.24468041292677e-08
"1553102_a_at.t","1553102_a_at",7.82435149070718,2.21754410864896e-11,4.65076716485144e-11
"1553275_s_at.t","1553275_s_at",7.39975511546102,2.93201715022553e-10,5.76241111295929e-10
"1553296_at.t","1553296_at",-3.79509548018785,0.000225829887008818,0.000326483056667139
"1553319_at.t","1553319_at",-4.86526931517588,3.21123841688914e-06,5.17516422763923e-06
"1553486_a_at.t","1553486_a_at",-4.39103384616373,2.64474399096234e-05,4.01696731166999e-05
"1553613_s_at.t","1553613_s_at",5.24925151997756,7.41420240341446e-07,1.24056217263689e-06
"1553808_a_at.t","1553808_a_at",2.8788279355871,0.00502846861181847,0.00668279986518582
"1553828_at.t","1553828_at",-12.5186017055264,8.61718481495261e-24,4.47217286498049e-23
"1553970_s_at.t","1553970_s_at",3.79993268394978,0.000272537217107865,0.000391053870095728
"1554007_at.t","1554007_at",9.75941145817091,1.40982947514449e-15,3.96773699714376e-15
"1554018_at.t","1554018_at",13.8841971600602,1.5956047158854e-23,8.17013652180787e-23
"1554127_s_at.t","1554127_s_at",18.0690836170224,5.79702976320087e-30,5.76315101783151e-29
"1554190_s_at.t","1554190_s_at",-5.86109223521284,5.05766479899187e-08,8.93112434516327e-08
"1554195_a_at.t","1554195_a_at",8.2246864302271,9.75736153479403e-12,2.09222976327306e-11
"1554375_a_at.t","1554375_a_at",-4.35499578221849,2.76154578066704e-05,4.19021465827675e-05
"1554436_a_at.t","1554436_a_at",-8.27476247033855,2.4470400404212e-12,5.46922379837205e-12
"1554474_a_at.t","1554474_a_at",14.7725473219926,4.08568606293017e-27,2.869351083645e-26
"1554547_at.t","1554547_at",10.5391078551432,3.19472098135977e-16,9.4789105086469e-16
"1554741_s_at.t","1554741_s_at",11.5389529738068,1.64288311886059e-19,6.25685088302379e-19
"1554781_at.t","1554781_at",-3.64492728142506,0.000383632744918417,0.000547893407154941
"1554899_s_at.t","1554899_s_at",13.5961374204777,4.11784138829486e-26,2.64891393507539e-25
"1555019_at.t","1555019_at",-5.18422380531085,8.0009154480746e-07,1.33435746742944e-06
"1555229_a_at.t","1555229_a_at",16.719735664507,4.06652002054465e-34,6.62323633133389e-33
"1555564_a_at.t","1555564_a_at",3.77627694839935,0.000241781674462795,0.000348557197365857
"1555728_a_at.t","1555728_a_at",13.0191781715417,5.68380743425622e-23,2.8161518387852e-22
"1555731_a_at.t","1555731_a_at",-2.19668530742867,0.0305874105187346,0.038228020819741
"1555745_a_at.t","1555745_a_at",-3.97655831647922,0.000123621050073666,0.000182335094087459
"1555756_a_at.t","1555756_a_at",10.4507362315614,5.6260958193205e-17,1.76507227446305e-16
"1555772_a_at.t","1555772_a_at",-4.85714566164126,3.38230900128909e-06,5.42800322953208e-06
"1555778_a_at.t","1555778_a_at",15.6241174080988,1.97943706398541e-31,2.27858507139974e-30
"1555867_at.t","1555867_at",2.81141257390674,0.00591735621965304,0.00783691381685882
"1555890_at.t","1555890_at",-2.65271528338772,0.008964780248963,0.0117308363770618
"1555938_x_at.t","1555938_x_at",7.28687899071901,3.71758525270959e-10,7.26899491941046e-10
"1555963_x_at.t","1555963_x_at",-3.8718624736571,0.000170210383218346,0.000249132023620734
"1555997_s_at.t","1555997_s_at",13.9165746334221,2.888318608432e-25,1.70077530365746e-24
"1556194_a_at.t","1556194_a_at",-2.39323402913104,0.0181430362566512,0.0232638094714681
"1556834_at.t","1556834_at",-4.41171398740973,2.13941998645298e-05,3.27217981944007e-05
"1557049_at.t","1557049_at",11.2827559153836,1.84696538248049e-18,6.3830790080759e-18
"1557080_s_at.t","1557080_s_at",10.2514883388304,4.88670711724116e-15,1.30796304134549e-14
"1557961_s_at.t","1557961_s_at",12.4072859115991,9.46030485358695e-19,3.36830854205619e-18
"1558828_s_at.t","1558828_s_at",12.2943672755574,2.930420224244e-19,1.09693725264488e-18
"1558930_at.t","1558930_at",2.40172396238389,0.0183510171232857,0.0235108010173643
"1559410_at.t","1559410_at",-3.96559525331291,0.000121469883591513,0.000179334996893545
"1559477_s_at.t","1559477_s_at",14.9527589289092,3.42833182444833e-25,1.97322406888361e-24
"1559538_at.t","1559538_at",-11.3707035693559,4.70334104474943e-21,1.99468563421368e-20
"1560396_at.t","1560396_at",6.87546541193228,1.56699381728843e-09,2.98020811710384e-09
"1561387_a_at.t","1561387_a_at",-11.953208290309,4.34354054915162e-22,1.97915493474736e-21
"1562921_at.t","1562921_at",-7.92098024264863,8.61487273372845e-13,1.99235198721122e-12
"1566465_at.t","1566465_at",-3.02404815303927,0.00302219254876228,0.00408382770710949
"1567183_s_at.t","1567183_s_at",-3.94767125650256,0.000129755809420077,0.000191199368837476
"1568603_at.t","1568603_at",-8.37909782173576,1.2150235596671e-13,2.9668278626002e-13
"1568604_a_at.t","1568604_a_at",-7.82211446048784,4.34477703204552e-12,9.5026480515167e-12
"1568634_a_at.t","1568634_a_at",-8.4330879155617,5.52015164727697e-14,1.37868714061681e-13
"1568765_at.t","1568765_at",7.34614739249168,1.47895777113304e-10,2.95984882039828e-10
"1569433_at.t","1569433_at",-6.19014409202525,7.06205984047264e-09,1.30579874586517e-08
"1569477_at.t","1569477_at",3.46219207281477,0.000777850587952855,0.00109255894509708
"1569532_a_at.t","1569532_a_at",-3.77048768794417,0.000253052944944168,0.00036377845888218
"1569582_at.t","1569582_at",-4.31667244455507,3.10702454473354e-05,4.70044918773424e-05
"200930_s_at.t","200930_s_at",4.79007495171521,1.01513972730454e-05,1.5940296641059e-05
"200986_at.t","200986_at",20.3514519238752,1.63395172972834e-41,1.38976672123005e-39
"201058_s_at.t","201058_s_at",19.9480909262269,5.39282116336947e-39,2.94871757182809e-37
"201116_s_at.t","201116_s_at",3.67191654866493,0.000350685492986235,0.000502244611564009
"201117_s_at.t","201117_s_at",4.08011351562302,7.94843715364724e-05,0.000118491307519318
"201141_at.t","201141_at",17.6904632350853,1.61021950688683e-36,4.10874344173956e-35
"201147_s_at.t","201147_s_at",18.0503452776987,7.89658686299393e-37,2.12099552407784e-35
"201149_s_at.t","201149_s_at",15.7972904360718,5.8072805794242e-29,4.85844074704833e-28
"201150_s_at.t","201150_s_at",17.2165225348087,1.70812708241634e-35,3.58238707284852e-34
"201261_x_at.t","201261_x_at",16.9122106112666,2.27376298097708e-34,3.91138328525382e-33
"201262_s_at.t","201262_s_at",11.8272351271604,2.56720791105737e-20,1.03431455574443e-19
"201348_at.t","201348_at",14.1082792639909,6.5476726216172e-27,4.51553458725042e-26
"201430_s_at.t","201430_s_at",15.9914776607174,1.11150271366933e-32,1.44212767341334e-31
"201431_s_at.t","201431_s_at",17.4631537063472,4.37732410108439e-36,1.00025122369555e-34
"201495_x_at.t","201495_x_at",7.03692921455922,1.89786383996803e-09,3.59163107415458e-09
"201496_x_at.t","201496_x_at",9.67024409864436,2.56017369724283e-14,6.4680295882488e-14
"201497_x_at.t","201497_x_at",10.1971363903183,5.01006183997907e-16,1.4638176864519e-15
"201525_at.t","201525_at",9.22334550474915,5.45023953239256e-15,1.44866609793282e-14
"201539_s_at.t","201539_s_at",9.16839792865802,9.15247844567527e-14,2.26007169360142e-13
"201616_s_at.t","201616_s_at",18.183020414595,1.26048876711871e-37,4.1952354401277e-36
