"genesetname","p_value","estimate","diff","bh"
"GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION",1,0,"UP",1
"GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION",1,0,"DOWN",1
"GO_CARDIAC_CHAMBER_DEVELOPMENT",0.258280731970705,Inf,"UP",1
"GO_CARDIAC_CHAMBER_DEVELOPMENT",0.0524231608287047,0.347690683824598,"DOWN",1
"GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY",1,0,"UP",1
"GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY",1,0,"DOWN",1
"GO_CIRCADIAN_RHYTHM",0.205616290512315,0.353599236519765,"UP",1
"GO_CIRCADIAN_RHYTHM",1,Inf,"DOWN",1
"GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING",1,Inf,"UP",1
"GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING",1,Inf,"DOWN",1
"GO_SPINAL_CORD_DEVELOPMENT",1,Inf,"UP",1
"GO_SPINAL_CORD_DEVELOPMENT",0.205616290512315,0.353599236519765,"DOWN",1
"GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY",1,Inf,"UP",1
"GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY",0.545833066863596,0.712522954818568,"DOWN",1
"GO_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS",0.49146096923459,0.59330559407767,"UP",1
"GO_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS",0.49146096923459,0.59330559407767,"DOWN",1
"GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION",0.545833066863596,0.712522954818568,"UP",1
"GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION",0.165228383460553,0.294470691081141,"DOWN",1
"GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY",0.613814275003722,1.61053270029572,"UP",1
"GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY",1,1.16656619868145,"DOWN",1
"GO_POTASSIUM_ION_TRANSPORT",0.245110500388914,Inf,"UP",1
"GO_POTASSIUM_ION_TRANSPORT",1,0.951250578862467,"DOWN",1
"GO_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY",1,Inf,"UP",1
"GO_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY",1,Inf,"DOWN",1
"GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION",1,0.951250578862467,"UP",1
"GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION",0.42801872572747,0.589174250267155,"DOWN",1
"GO_MOVEMENT_IN_ENVIRONMENT_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION",0.106344950848972,0,"UP",1
"GO_MOVEMENT_IN_ENVIRONMENT_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION",1,Inf,"DOWN",1
"GO_REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION",1,0,"UP",1
"GO_REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION",1,0,"DOWN",1
"GO_APICAL_PROTEIN_LOCALIZATION",1,Inf,"UP",1
"GO_APICAL_PROTEIN_LOCALIZATION",0.106344950848972,0,"DOWN",1
"GO_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY",0.628036473335469,Inf,"UP",1
"GO_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY",0.0306179860907278,0.232342939061968,"DOWN",1
"GO_FOREBRAIN_NEURON_DEVELOPMENT",1,Inf,"UP",1
"GO_FOREBRAIN_NEURON_DEVELOPMENT",0.00999938876855418,0.0778544745952707,"DOWN",0.975630762891708
"GO_POSITIVE_REGULATION_OF_PROTEIN_MATURATION",1,Inf,"UP",1
"GO_POSITIVE_REGULATION_OF_PROTEIN_MATURATION",1,Inf,"DOWN",1
"GO_NEUROMUSCULAR_JUNCTION_DEVELOPMENT",1,Inf,"UP",1
"GO_NEUROMUSCULAR_JUNCTION_DEVELOPMENT",1,Inf,"DOWN",1
"GO_MITOTIC_CYTOKINESIS",1,Inf,"UP",1
"GO_MITOTIC_CYTOKINESIS",1,Inf,"DOWN",1
"GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",1,Inf,"UP",1
"GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",1,Inf,"DOWN",1
"GO_SMAD_PROTEIN_SIGNAL_TRANSDUCTION",1,Inf,"UP",1
"GO_SMAD_PROTEIN_SIGNAL_TRANSDUCTION",0.545833066863596,0.712522954818568,"DOWN",1
"GO_CYTOPLASMIC_TRANSLATION",1,Inf,"UP",1
"GO_CYTOPLASMIC_TRANSLATION",1,Inf,"DOWN",1
"GO_MEIOTIC_CHROMOSOME_SEGREGATION",1,0,"UP",1
"GO_MEIOTIC_CHROMOSOME_SEGREGATION",1,0,"DOWN",1
"GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT",0.391169523308898,Inf,"UP",1
"GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT",0.668551748210635,0.770716504229713,"DOWN",1
"GO_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR",1,Inf,"UP",1
"GO_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR",1,Inf,"DOWN",1
"GO_RNA_DEPENDENT_DNA_BIOSYNTHETIC_PROCESS",1,Inf,"UP",1
"GO_RNA_DEPENDENT_DNA_BIOSYNTHETIC_PROCESS",1,Inf,"DOWN",1
"GO_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY",1,Inf,"UP",1
"GO_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY",1,Inf,"DOWN",1
"GO_DENDRITE_DEVELOPMENT",0.384797897714589,Inf,"UP",1
"GO_DENDRITE_DEVELOPMENT",0.179615646606887,0.430508100378919,"DOWN",1
"GO_REGULATION_OF_RESPIRATORY_BURST",1,Inf,"UP",1
"GO_REGULATION_OF_RESPIRATORY_BURST",1,Inf,"DOWN",1
"GO_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION",1,Inf,"UP",1
"GO_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION",1,Inf,"DOWN",1
"GO_MEMORY",1,Inf,"UP",1
"GO_MEMORY",0.49146096923459,0.59330559407767,"DOWN",1
"GO_NEURON_DEVELOPMENT",0.00263120664280811,6.06417274536201,"UP",0.743923895371491
"GO_NEURON_DEVELOPMENT",0.00490014367982001,0.439489698433324,"DOWN",0.837026652756088
"GO_REGULATION_OF_GOLGI_ORGANIZATION",1,0,"UP",1
"GO_REGULATION_OF_GOLGI_ORGANIZATION",1,0,"DOWN",1
"GO_ENDOTHELIAL_CELL_DEVELOPMENT",1,Inf,"UP",1
"GO_ENDOTHELIAL_CELL_DEVELOPMENT",0.0905114365867357,0.176519095110096,"DOWN",1
"GO_POSITIVE_REGULATION_OF_MYOTUBE_DIFFERENTIATION",1,Inf,"UP",1
"GO_POSITIVE_REGULATION_OF_MYOTUBE_DIFFERENTIATION",1,Inf,"DOWN",1
"GO_REGULATION_OF_CELL_ACTIVATION",0.0243769380473962,6.9938211798067,"UP",1
"GO_REGULATION_OF_CELL_ACTIVATION",0.507615389519765,1.60844875813828,"DOWN",1
"GO_MULTICELLULAR_ORGANISM_AGING",0.286537803859308,0.236959604707618,"UP",1
"GO_MULTICELLULAR_ORGANISM_AGING",0.286537803859308,0.236959604707618,"DOWN",1
"GO_ATP_DEPENDENT_CHROMATIN_REMODELING",1,Inf,"UP",1
"GO_ATP_DEPENDENT_CHROMATIN_REMODELING",1,Inf,"DOWN",1
"GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS",0.0013267345366783,3.70877714304847,"UP",0.510078401101396
