"genesetname","p_value","estimate","diff","bh"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.512651255941329,3.02366496585194,"UP",1
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.512651255941329,3.02366496585194,"DOWN",1
"HALLMARK_HYPOXIA",0.250331601158231,Inf,"UP",0.927154078363818
"HALLMARK_HYPOXIA",0.134390542282855,0.438267792357046,"DOWN",0.924841878335635
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1,Inf,"UP",1
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1,Inf,"DOWN",1
"HALLMARK_MITOTIC_SPINDLE",1,Inf,"UP",1
"HALLMARK_MITOTIC_SPINDLE",0.36261486599259,0.355546462703539,"DOWN",1
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",1,Inf,"UP",1
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",1,Inf,"DOWN",1
"HALLMARK_TGF_BETA_SIGNALING",1,Inf,"UP",1
"HALLMARK_TGF_BETA_SIGNALING",0.36261486599259,0.355546462703539,"DOWN",1
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.382272857441568,Inf,"UP",1
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.382272857441568,Inf,"DOWN",1
"HALLMARK_DNA_REPAIR",1,Inf,"UP",1
"HALLMARK_DNA_REPAIR",0.201465658227302,0.118578096465687,"DOWN",0.927154078363818
"HALLMARK_G2M_CHECKPOINT",1,Inf,"UP",1
"HALLMARK_G2M_CHECKPOINT",0.430640723344053,0.474314071080474,"DOWN",1
"HALLMARK_APOPTOSIS",0.250331601158231,Inf,"UP",0.927154078363818
"HALLMARK_APOPTOSIS",0.444650824433157,0.629040821915925,"DOWN",1
"HALLMARK_NOTCH_SIGNALING",1,Inf,"UP",1
"HALLMARK_NOTCH_SIGNALING",1,Inf,"DOWN",1
"HALLMARK_ADIPOGENESIS",0.382272857441568,Inf,"UP",1
"HALLMARK_ADIPOGENESIS",1,1.43279681964277,"DOWN",1
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.713637820534784,2.2841921234231,"UP",1
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.713637820534784,2.2841921234231,"DOWN",1
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.185332309381241,0.48947265590903,"UP",0.927154078363818
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.512651255941329,3.02366496585194,"DOWN",1
"HALLMARK_ANDROGEN_RESPONSE",0.618392974496019,Inf,"UP",1
"HALLMARK_ANDROGEN_RESPONSE",0.32978261907284,0.531688078221349,"DOWN",1
"HALLMARK_MYOGENESIS",0.24298948346674,3.77228103072879,"UP",0.927154078363818
"HALLMARK_MYOGENESIS",0.14102787203757,0.503125554700104,"DOWN",0.924841878335635
"HALLMARK_PROTEIN_SECRETION",1,Inf,"UP",1
"HALLMARK_PROTEIN_SECRETION",1,Inf,"DOWN",1
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1,Inf,"UP",1
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.594435463485207,0.831970309263489,"DOWN",1
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0997705126496989,Inf,"UP",0.924841878335635
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.735001638528176,0.829567001685297,"DOWN",1
"HALLMARK_APICAL_JUNCTION",0.101278861283867,Inf,"UP",0.924841878335635
"HALLMARK_APICAL_JUNCTION",0.0493795555127369,0.384816284087035,"DOWN",0.822992591878948
"HALLMARK_APICAL_SURFACE",1,Inf,"UP",1
"HALLMARK_APICAL_SURFACE",0.36261486599259,0.355546462703539,"DOWN",1
"HALLMARK_HEDGEHOG_SIGNALING",1,Inf,"UP",1
"HALLMARK_HEDGEHOG_SIGNALING",0.126539493891371,0.235426989380047,"DOWN",0.924841878335635
"HALLMARK_COMPLEMENT",0.567907395908726,1.80850803640094,"UP",1
"HALLMARK_COMPLEMENT",0.0711553434877173,0.410731798254058,"DOWN",0.924841878335635
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1,Inf,"UP",1
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1,Inf,"DOWN",1
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",1,Inf,"UP",1
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",1,Inf,"DOWN",1
"HALLMARK_MTORC1_SIGNALING",1,Inf,"UP",1
