"PROBEID","t","p","padj","SYMBOL"
"219773_at",16.0984702071306,1.62201694896793e-26,1.06579740294845e-25,"NOX4"
"244741_s_at",16.0667883236431,3.56340186126227e-27,2.5140867509643e-26,"ZNF667-AS1"
"230741_at",16.0008347138642,9.9362483245561e-27,6.701496116694e-26,"P2RX7"
"244050_at",15.9805115302881,2.06126936585998e-32,2.50460587232669e-31,"HACD4"
"218718_at",15.8944526415389,1.88908209892738e-32,2.31374775476626e-31,"PDGFC"
"226069_at",15.8726582738303,3.18686466880022e-25,1.85078219172096e-24,"PRICKLE1"
"206026_s_at",15.6776644179379,1.30096878360775e-31,1.50892667250263e-30,"TNFAIP6"
"202555_s_at",15.6503961391636,3.89151452406679e-28,2.96413369967475e-27,"MYLK"
"217428_s_at",15.647919823038,2.18345720557716e-28,1.72313040295806e-27,"COL10A1"
"209596_at",15.624490194125,2.20601155953452e-31,2.50178051677581e-30,"MXRA5"
"1555778_a_at",15.6241174080988,1.97943706398541e-31,2.27858507139974e-30,"POSTN"
"226676_at",15.5034438235096,1.1862770107153e-30,1.25254489890008e-29,"ZNF521"
"205786_s_at",15.479866774385,2.54319791606326e-27,1.81099349278737e-26,"ITGAM"
"229554_at",15.4705774415409,1.21523770918193e-29,1.12080056190213e-28,"LUM"
"226311_at",15.4644883784606,2.5232923714497e-31,2.84055927991874e-30,"ADAMTS2"
"206101_at",15.4444807931517,1.29573932760313e-25,8.03148546785582e-25,"ECM2"
"203305_at",15.4377948061491,5.81219102595577e-28,4.34071437109184e-27,"F13A1"
"204955_at",15.4000159331087,2.14088721747009e-28,1.69828929012783e-27,"SRPX"
"211564_s_at",15.3816627524159,2.39906250958038e-28,1.88357164213721e-27,"PDLIM4"
"228423_at",15.3660742715501,5.62856200519715e-26,3.56087951651109e-25,"MAP9"
"204688_at",15.3651290410385,5.86495567346401e-31,6.3682603801939e-30,"SGCE"
"212489_at",15.3399465317238,4.28704205844224e-31,4.68818670819648e-30,"COL5A1"
"209687_at",15.2276280489548,1.16507469625492e-29,1.08104809694926e-28,"CXCL12"
"227236_at",15.1903474262477,7.19258793806455e-29,5.95235250441991e-28,"TSPAN2"
"226225_at",15.1656997824633,4.28023050118359e-28,3.22809502330644e-27,"MCC"
"209708_at",15.1483462795313,2.51654501537851e-27,1.80038804604883e-26,"MOXD1"
"218468_s_at",15.1279782240124,1.01118252930555e-29,9.55629908868397e-29,"GREM1"
"205802_at",15.113206170062,6.31683235611181e-26,3.96355341688819e-25,"TRPC1"
"204438_at",15.1104999408829,8.60333545290621e-30,8.28409218767258e-29,"MRC1"
"225688_s_at",15.106256147592,4.72609461702295e-30,4.77704967901398e-29,"PHLDB2"
"235944_at",15.1023964352795,2.58271966666066e-25,1.5326138797122e-24,"HMCN1"
"206584_at",15.089744012943,1.73762494471783e-30,1.82212588381027e-29,"LY96"
"228532_at",15.0837332495418,1.41330920576866e-26,9.40772345231225e-26,"C1orf162"
"205407_at",15.0779540718925,1.52161937810021e-26,1.00848453154607e-25,"RECK"
"213068_at",15.0771298332257,1.75154143717524e-24,9.75130887387378e-24,"DPT"
"238447_at",15.05380117317,2.85489361869349e-29,2.51197823575846e-28,"RBMS3"
"216598_s_at",15.0223316114775,2.43755047124427e-29,2.15716171761559e-28,"CCL2"
"216950_s_at",14.9745823379747,5.59390656622581e-27,3.8928504331326e-26,"FCGR1A|FCGR1B|FCGR1CP"
"215446_s_at",14.9620955575,4.205530459872e-29,3.59702074528717e-28,"LOX"
"204959_at",14.9447863572018,5.97788722123589e-29,4.97399203027834e-28,"MNDA"
"227140_at",14.9034652646839,1.62608476005732e-29,1.47309808736554e-28,"INHBA"
"204527_at",14.9013511528596,2.92147425875126e-26,1.8872477173621e-25,"MYO5A"
"222043_at",14.8891971350606,4.54344082435138e-24,2.43217059513356e-23,"CLU"
"238455_at",14.8832209916728,2.13588121006442e-29,1.91230066234423e-28,"PLXDC2"
