"PROBEID","t","p","padj","SYMBOL"
"204457_s_at",24.2618708130683,4.43119620847574e-49,6.78416139517635e-46,"GAS1"
"225242_s_at",22.6880916598421,3.10349184535399e-46,1.18786150380924e-43,"CCDC80"
"209868_s_at",22.6626455161317,3.84404660214157e-47,2.94261767393937e-44,"RBMS1"
"218694_at",22.5141581868672,4.985648028944e-45,1.09043244747332e-42,"ARMCX1"
"223122_s_at",22.3516576715084,1.06601997688104e-46,5.44025528201626e-44,"SFRP2"
"227059_at",22.1272130560437,4.68308051906206e-45,1.09043244747332e-42,"GPC6"
"202291_s_at",22.0930982486816,9.0941651562712e-46,2.78463337085024e-43,"MGP"
"226930_at",21.7407554259285,6.47508724604741e-45,1.10148428596651e-42,"FNDC1"
"225782_at",21.5985719144549,6.36289990256921e-45,1.10148428596651e-42,"MSRB3"
"202363_at",21.5116575677259,3.27631035329937e-44,5.01603115090133e-42,"SPOCK1"
"213413_at",21.3287950369546,4.0189832063535e-41,3.0765316444636e-39,"STON1"
"238478_at",21.3075495538803,5.93751950470051e-37,1.71515893616915e-35,"BNC2"
"227061_at",21.20784302471,1.71101985918959e-38,7.70462177770373e-37,"LINC01279"
"225442_at",20.8880618659567,4.80989761696806e-43,6.13662770964842e-41,"DDR2"
"209210_s_at",20.7530342226025,2.23114863157588e-43,3.10535323176606e-41,"FERMT2"
"208131_s_at",20.691782201932,6.39076415302629e-37,1.77895634877877e-35,"PTGIS"
"225464_at",20.5564900678447,1.02110864075793e-42,1.20255179153876e-40,"FRMD6"
"200986_at",20.3514519238752,1.63395172972834e-41,1.38976672123005e-39,"SERPING1"
"212354_at",20.3398620754829,4.1405984375413e-42,4.52804014848267e-40,"SULF1"
"205880_at",20.0739790454497,5.11785364100661e-37,1.53635959301591e-35,"PRKD1"
"222877_at",20.0174638128672,7.49995135476177e-36,1.64343756955708e-34,"NRP2"
"201058_s_at",19.9480909262269,5.39282116336947e-39,2.94871757182809e-37,"MYL9"
"221019_s_at",19.9311437103289,8.34093028098304e-34,1.26485513922287e-32,"COLEC12"
"202766_s_at",19.929403213427,1.35292395945367e-41,1.21842740113151e-39,"FBN1"
"209621_s_at",19.9032415311784,3.46386189412694e-38,1.45393409099711e-36,"PDLIM3"
"214844_s_at",19.823376190519,2.44569519848748e-36,5.76055284443744e-35,"DOK5"
"213125_at",19.7947455271178,3.69512498194539e-39,2.09527272124385e-37,"OLFML2B"
"225710_at",19.7264685407119,3.48686595233221e-41,2.80967988053717e-39,"GNB4"
"221748_s_at",19.7261645049437,6.29796152391638e-40,3.85687163724639e-38,"TNS1"
"228080_at",19.6734247412127,1.04226697884059e-34,1.89965564833921e-33,"LAYN"
"203695_s_at",19.4878868257712,3.82402610225171e-36,8.8705817614354e-35,"GSDME"
"225968_at",19.4512232138922,2.02847009670057e-36,5.09112740663699e-35,"PRICKLE2"
"209283_at",19.3654543759496,1.2849832642124e-34,2.28756904361532e-33,"CRYAB"
"226237_at",19.3129109633909,4.57817260810667e-40,3.04747054913536e-38,"COL8A1"
"202133_at",19.2096904455658,5.9741768887668e-40,3.81102700695915e-38,"WWTR1"
"225946_at",19.1348541258303,6.81024284620419e-34,1.06392671403455e-32,"RASSF8"
"209335_at",19.1344046446493,1.03221277468334e-39,6.07814522323153e-38,"DCN"
"204939_s_at",19.0682039198862,3.7746497077997e-35,7.22373587830168e-34,"PLN"
"228827_at",18.9313453851933,1.20951627335145e-35,2.57190196458481e-34,"RUNX1T1"
"213122_at",18.8560671982478,4.53903639759069e-33,6.26059885109131e-32,"TSPYL5"
