Annotation Cluster 1,Enrichment Score: 21.918090787704198,,,,,,,,,,,
Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_FAT,GO:0007049~cell cycle,364,15.82608696,4.49E-60,"KIFC1, RAD51C, EDN1, AURKA, PTTG1, AURKB, ANKLE1, SHB, CDCA8, ATP2B4, HMCN1, DDX11, CTGF, INTS7, WDR76, INCENP, CDCA2, RARA, H2AFX, CCNA2, STAG2, CDCA3, STAG1, PTPRK, LIG1, POLE, SKP2, PIM1, ESPL1, MIIP, CEP152, BCL2L11, VASH1, ESCO2, NCAPD3, NCAPD2, UHRF1, MAD2L1, MAPK6, RCC2, SPAG5, SIAH1A, ZWINT, CNTROB, MAPK7, EIF2AK4, GNAI3, LMNB1, NEK3, GNAI1, NEK2, CHEK1, AFAP1L2, CEP164, MYBL2, VRK1, TRP53BP1, NCAPG2, TRP53BP2, FBXO5, OBSL1, SKA1, TCF3, RECQL4, DNMT3A, MKI67, CREBBP, KLF11, NUF2, CDC23, NDC80, CDC20, PMF1, GAS1, CDC27, SEPT11, CSPP1, SRSF2, NOTCH2, FAM64A, SFRP1, RNF4, WDR62, RNF2, PCNA, TCF19, BMP7, CHAF1B, UTP14B, CLSPN, SPIN1, EZH2, MLH1, ACTR3, CCNE1, FANCM, EVI5, MTBP, TUBB5, TGFA, MASTL, TOP2B, NR2F2, MYC, TOP2A, CDC7, CDC6, ARHGEF2, RBBP4, POGZ, ANP32B, DSN1, GEN1, CCNF, TPX2, MBD4, FLNA, RAD50, RBBP8, RAD51, INHBA, CCND1, DACT1, CCND3, CCND2, FANCD2, RRM1, FOXC1, USP22, LIN9, PML, CETN3, ZFP318, FEM1B, MIF, ZFP36L1, NCAPH, EZR, MDC1, NCAPG, BCL2, BUB1, NPAT, ZWILCH, THBS1, TRIP13, KIFC5B, PDS5B, DLGAP5, NASP, IGF1, FZD3, BIRC5, IGF2, DOT1L, CCNB2, YWHAH, PHF13, SFPQ, ZFP207, KIF20B, PHGDH, CHTF18, NEUROD1, PTCH1, PBX1, RBM14, CIT, KIF20A, STIL, CEP72, SEPT3, SEPT2, SEPT1, PRC1, CTDSPL, DBF4, KNTC1, IQGAP3, SAE1, TGFB2, CSNK2A2, EIF4EBP1, RAD21, MYOCD, GATA6, CDKN2C, STARD9, PMS2, ZFP503, ORC1, ASPM, STK24, DTL, SGOL1, RBL1, DDX39B, PDXP, TOPBP1, TACC3, RNASEH2B, TRIM37, HHEX, TRIM35, MCMBP, STMN1, AKAP8, SEPT6, CCDC8, DSCC1, SEPT9, CEP97, HMGB1, EID1, BLM, TFAP4, TIPIN, SOX4, GIPC1, ANLN, TRRAP, SOX9, CCNG2, SYCP1, SRC, SPC24, SPC25, CENPC1, NPM1, HELLS, ERCC6L, TFDP1, CKAP2, TRP53, GINS1, DIXDC1, PARD6B, WDR6, SUV39H1, HACE1, BRCA2, BRIP1, ATAD5, INSC, TET2, BRCA1, REEP4, FAM178A, CDKN1C, DNA2, PLK4, CDKN1B, PLK2, PLK1, CIRBP, PARD6G, ABL1, MYH10, E2F1, KIF23, KIF22, E2F2, CDC14A, FOXK1, CEP57L1, SLFN9, E2F7, DICER1, E2F8, DSTN, FAM83D, AKT1, CDC42, SPRY2, ACVR1B, KIF2C, CASP3, MCM7, PRMT2, ZFYVE19, PAK4, RANBP1, CDK5RAP2, CASP2, CDK14, KIF14, KHDRBS1, CDK1, KIF11, DDB1, SOX11, NUSAP1, UBE2I, CDK6, MCM2, HMGA2, MCM3, CDK4, UBE2C, MCM4, ECT2, MCM5, CDK2, MCM6, PPM1D, APITD1, LARP7, NSL1, CFL1, KLHL13, BUB1B, HAUS7, MAPRE2, MDM4, CHFR, MELK, WIZ, SMARCAD1, HAUS4, CKS1B, SNX18, HAUS6, 2610002M06RIK, CRLF3, FOXM1, HCFC1, CEP55, BRSK1, TCF7L2, RPA3, RPA2, IGF1R, CEP57, HJURP, CENPA, PPP1R12A, MZT1, GPSM2, CAMK2A, CHD4, TERF2, CHD3, EXO1, TXNIP, CENPN, ERH, CEP192, PSRC1, CENPE, RACGAP1, SMC2, CDC25A, GSG2, SLBP, CENPH, SMC4, ID2, SYDE1, CKS2, CENPW, ID4, CENPT, SNX33, MIS18BP1",1928,1440,17911,2.348289822,3.92E-56,3.92E-56,9.04E-57
GOTERM_BP_FAT,GO:0022402~cell cycle process,288,12.52173913,2.81E-49,"KIFC1, RAD51C, EDN1, AURKA, PTTG1, AURKB, ANKLE1, CDCA8, ATP2B4, DDX11, CTGF, INTS7, INCENP, WDR76, CDCA2, H2AFX, CCNA2, STAG2, CDCA3, STAG1, LIG1, POLE, SKP2, ESPL1, MIIP, CEP152, VASH1, NCAPD3, NCAPD2, MAD2L1, RCC2, SPAG5, SIAH1A, ZWINT, CNTROB, EIF2AK4, LMNB1, NEK3, NEK2, CHEK1, CEP164, MYBL2, VRK1, TRP53BP1, NCAPG2, FBXO5, OBSL1, SKA1, TCF3, RECQL4, MKI67, KLF11, CREBBP, NUF2, CDC23, NDC80, CDC20, PMF1, GAS1, CDC27, CSPP1, SRSF2, NOTCH2, FAM64A, RNF4, WDR62, PCNA, TCF19, BMP7, CLSPN, SPIN1, EZH2, MLH1, ACTR3, CCNE1, FANCM, MTBP, TUBB5, TGFA, MASTL, TOP2B, TOP2A, MYC, CDC7, CDC6, ARHGEF2, POGZ, ANP32B, GEN1, DSN1, CCNF, TPX2, MBD4, FLNA, RAD50, RBBP8, RAD51, INHBA, CCND1, DACT1, CCND2, FANCD2, PML, CETN3, FEM1B, MIF, ZFP36L1, NCAPH, EZR, NCAPG, BCL2, BUB1, NPAT, THBS1, ZWILCH, TRIP13, KIFC5B, PDS5B, IGF1, BIRC5, IGF2, DOT1L, CCNB2, YWHAH, PHF13, SFPQ, ZFP207, KIF20B, PHGDH, CHTF18, NEUROD1, PBX1, RBM14, CIT, KIF20A, STIL, CEP72, SEPT2, PRC1, SEPT1, CTDSPL, DBF4, KNTC1, IQGAP3, TGFB2, CSNK2A2, EIF4EBP1, RAD21, GATA6, CDKN2C, STARD9, PMS2, ZFP503, ORC1, ASPM, DTL, DDX39B, SGOL1, PDXP, TOPBP1, TACC3, RNASEH2B, TRIM37, MCMBP, STMN1, AKAP8, CCDC8, DSCC1, CEP97, BLM, TFAP4, TIPIN, SOX4, GIPC1, ANLN, TRRAP, CCNG2, SYCP1, SPC24, SPC25, CENPC1, NPM1, HELLS, ERCC6L, CKAP2, TRP53, GINS1, WDR6, BRIP1, BRCA2, ATAD5, INSC, REEP4, BRCA1, FAM178A, CDKN1C, DNA2, PLK4, CDKN1B, PLK2, PLK1, CIRBP, MYH10, E2F1, KIF23, KIF22, CDC14A, CEP57L1, E2F7, SLFN9, E2F8, DICER1, DSTN, FAM83D, AKT1, CDC42, ACVR1B, KIF2C, SPRY2, PRMT2, ZFYVE19, RANBP1, CDK5RAP2, CASP2, CDK14, KIF14, CDK1, KIF11, DDB1, SOX11, NUSAP1, UBE2I, HMGA2, CDK4, UBE2C, ECT2, CDK2, PPM1D, APITD1, LARP7, NSL1, CFL1, KLHL13, BUB1B, HAUS7, MAPRE2, MDM4, CHFR, WIZ, SMARCAD1, HAUS4, CKS1B, SNX18, HAUS6, CRLF3, FOXM1, BRSK1, CEP55, TCF7L2, RPA2, IGF1R, CEP57, CENPA, PPP1R12A, MZT1, GPSM2, CAMK2A, CHD4, CHD3, CENPN, CEP192, PSRC1, CENPE, RACGAP1, SMC2, CDC25A, GSG2, SLBP, SMC4, CENPH, ID2, SYDE1, CKS2, CENPW, ID4, CENPT, SNX33, MIS18BP1",1928,1109,17911,2.412535685,2.46E-45,1.23E-45,5.67E-46
GOTERM_BP_FAT,GO:0000278~mitotic cell cycle,229,9.956521739,1.18E-47,"KIFC1, RAD51C, EDN1, AURKA, AURKB, PTTG1, SHB, CDCA8, INCENP, CDCA2, CCNA2, STAG2, CDCA3, STAG1, LIG1, POLE, SKP2, ESPL1, MIIP, NCAPD3, NCAPD2, MAD2L1, RCC2, SPAG5, ZWINT, CNTROB, LMNB1, NEK3, NEK2, CEP164, CHEK1, MYBL2, VRK1, NCAPG2, OBSL1, FBXO5, SKA1, TCF3, DNMT3A, MKI67, KLF11, CREBBP, NUF2, CDC23, NDC80, CDC20, GAS1, PMF1, CDC27, SRSF2, FAM64A, WDR62, RNF2, PCNA, TCF19, BMP7, CLSPN, EZH2, CCNE1, MTBP, TGFA, MASTL, TOP2B, TOP2A, CDC7, CDC6, ARHGEF2, POGZ, ANP32B, GEN1, DSN1, CCNF, TPX2, MBD4, FLNA, RBBP8, INHBA, CCND1, DACT1, CCND2, RRM1, FOXC1, USP22, PML, CETN3, ZFP36L1, NCAPH, NCAPG, BCL2, NPAT, BUB1, ZWILCH, KIFC5B, PDS5B, IGF1, FZD3, BIRC5, IGF2, CCNB2, YWHAH, PHF13, KIF20B, ZFP207, PBX1, CIT, KIF20A, STIL, SEPT2, CTDSPL, DBF4, KNTC1, IQGAP3, CSNK2A2, EIF4EBP1, RAD21, CDKN2C, ASPM, STK24, SGOL1, PDXP, TOPBP1, TACC3, RNASEH2B, TRIM35, MCMBP, STMN1, AKAP8, DSCC1, CCDC8, CEP97, HMGB1, BLM, TIPIN, SOX4, ANLN, TRRAP, CCNG2, SPC24, SPC25, CENPC1, HELLS, TFDP1, ERCC6L, CKAP2, TRP53, GINS1, BRCA2, ATAD5, INSC, REEP4, FAM178A, CDKN1C, DNA2, CDKN1B, PLK2, PLK1, ABL1, MYH10, E2F1, KIF23, KIF22, CDC14A, CEP57L1, E2F7, SLFN9, E2F8, AKT1, FAM83D, KIF2C, ACVR1B, SPRY2, CDC42, PRMT2, RANBP1, CDK5RAP2, CASP2, CDK14, KIF14, CDK1, KIF11, DDB1, NUSAP1, UBE2I, HMGA2, CDK4, UBE2C, CDK2, PPM1D, APITD1, NSL1, LARP7, CFL1, KLHL13, BUB1B, MAPRE2, HAUS7, CHFR, HAUS4, CKS1B, SNX18, CRLF3, FOXM1, BRSK1, CEP55, RPA2, IGF1R, CEP57, CENPA, PPP1R12A, MZT1, GPSM2, CAMK2A, CENPN, CEP192, PSRC1, CENPE, RACGAP1, SMC2, GSG2, CDC25A, SMC4, CENPH, ID2, CKS2, CENPW, ID4, CENPT, SNX33, MIS18BP1",1928,787,17911,2.703171216,1.03E-43,3.44E-44,2.37E-44
GOTERM_BP_FAT,GO:1903047~mitotic cell cycle process,206,8.956521739,2.32E-43,"KIFC1, RAD51C, EDN1, AURKA, AURKB, PTTG1, CDCA8, INCENP, CDCA2, CCNA2, STAG2, STAG1, CDCA3, LIG1, POLE, SKP2, ESPL1, MIIP, NCAPD3, NCAPD2, MAD2L1, RCC2, SPAG5, ZWINT, CNTROB, LMNB1, NEK3, NEK2, CEP164, CHEK1, MYBL2, VRK1, NCAPG2, FBXO5, SKA1, TCF3, KLF11, CREBBP, NUF2, CDC23, CDC20, NDC80, PMF1, CDC27, SRSF2, FAM64A, WDR62, PCNA, TCF19, BMP7, CLSPN, EZH2, CCNE1, MTBP, TGFA, MASTL, TOP2B, TOP2A, CDC7, CDC6, ARHGEF2, POGZ, ANP32B, GEN1, DSN1, CCNF, TPX2, MBD4, FLNA, RBBP8, INHBA, CCND1, DACT1, CCND2, CETN3, PML, ZFP36L1, NCAPH, NCAPG, BCL2, NPAT, BUB1, ZWILCH, KIFC5B, PDS5B, IGF1, BIRC5, IGF2, CCNB2, PHF13, KIF20B, ZFP207, PBX1, CIT, KIF20A, STIL, SEPT2, CTDSPL, DBF4, KNTC1, IQGAP3, CSNK2A2, EIF4EBP1, RAD21, CDKN2C, ASPM, SGOL1, TOPBP1, TACC3, RNASEH2B, MCMBP, STMN1, AKAP8, DSCC1, CEP97, BLM, TIPIN, SOX4, ANLN, TRRAP, CCNG2, SPC24, SPC25, CENPC1, HELLS, ERCC6L, CKAP2, GINS1, TRP53, INSC, REEP4, FAM178A, CDKN1C, DNA2, CDKN1B, PLK2, PLK1, MYH10, KIF23, E2F1, KIF22, CDC14A, CEP57L1, E2F7, SLFN9, AKT1, FAM83D, KIF2C, ACVR1B, SPRY2, PRMT2, RANBP1, CDK5RAP2, CASP2, CDK14, KIF14, CDK1, KIF11, NUSAP1, UBE2I, UBE2C, CDK4, HMGA2, CDK2, PPM1D, APITD1, NSL1, LARP7, CFL1, KLHL13, BUB1B, MAPRE2, HAUS7, CHFR, HAUS4, CKS1B, SNX18, CRLF3, FOXM1, BRSK1, CEP55, RPA2, IGF1R, CEP57, CENPA, PPP1R12A, MZT1, GPSM2, CAMK2A, CENPN, CEP192, PSRC1, CENPE, RACGAP1, SMC2, GSG2, CDC25A, SMC4, CENPH, ID2, CKS2, CENPW, CENPT, ID4, MIS18BP1, SNX33",1928,702,17911,2.726107092,2.03E-39,5.07E-40,4.67E-40
GOTERM_BP_FAT,GO:0051301~cell division,163,7.086956522,2.30E-34,"KIFC1, SEPT3, SEPT2, SEPT1, PRC1, PDGFA, KNTC1, AURKA, PTTG1, AURKB, TGFB2, CDCA8, RAD21, HMCN1, INCENP, CDCA2, CCNA2, STAG2, ASPM, STAG1, CDCA3, LIG1, VANGL2, SGOL1, PDXP, NCAPD3, NCAPD2, MAD2L1, RCC2, SPAG5, ZWINT, CNTROB, MCMBP, STMN1, SEPT6, SEPT9, GNAI3, NEK3, BLM, NEK2, GNAI1, TIPIN, CEP164, GIPC1, ANLN, MDK, CCNG2, SYCP1, SPC24, SPC25, VRK1, NCAPG2, CENPC1, FBXO5, SKA1, HELLS, ERCC6L, CKAP2, DIXDC1, PARD6B, NUF2, BRCA2, BRIP1, CDC23, CDC20, NDC80, DOCK7, PMF1, CDC27, REEP4, SEPT11, CSPP1, FAM64A, SFRP2, PLK1, PARD6G, MYH10, KIF23, CDC14A, E2F7, DICER1, E2F8, DSTN, ACTR3, FAM83D, CCNE1, KIF2C, CDC42, ZFYVE19, EVI5, TGFA, MASTL, MYC, TOP2A, CDK14, CDC7, KIF14, CDC6, CDK1, ARHGEF2, KIF11, POGZ, DSN1, CCNF, TPX2, NUSAP1, CDK6, UBE2I, UBE2C, HMGA2, CDK4, ECT2, MCM5, CDK2, RBBP8, CCND1, CCND3, APITD1, CCND2, NSL1, CFL1, KLHL13, BUB1B, MAPRE2, HAUS7, CHFR, HAUS4, CKS1B, SNX18, 2610002M06RIK, CETN3, KIT, CEP55, IGF1R, NCAPH, CENPA, BUB1, PTN, ZWILCH, THBS4, KIFC5B, TXNIP, PDS5B, PSRC1, CENPE, BIRC5, IGF2, RACGAP1, SMC2, CDC25A, SMC4, CCNB2, PHF13, CKS2, ZFP207, KIF20B, CENPW, CENPT, PTCH1, SNX33, MIS18BP1, CIT, KIF20A",1928,554,17911,2.733321037,2.01E-30,4.02E-31,4.64E-31
GOTERM_BP_FAT,GO:0007067~mitotic nuclear division,133,5.782608696,8.20E-32,"KIFC1, STIL, SEPT2, EDN1, KNTC1, AURKA, AURKB, PTTG1, CSNK2A2, CDCA8, RAD21, INCENP, CDCA2, CCNA2, STAG2, ASPM, STAG1, CDCA3, SGOL1, ESPL1, TACC3, NCAPD3, NCAPD2, MAD2L1, RCC2, SPAG5, ZWINT, MCMBP, AKAP8, DSCC1, CEP97, NEK3, NEK2, TIPIN, CEP164, ANLN, CHEK1, MYBL2, CCNG2, SPC24, SPC25, VRK1, NCAPG2, CENPC1, FBXO5, SKA1, HELLS, ERCC6L, NUF2, CDC23, CDC20, NDC80, PMF1, CDC27, REEP4, FAM178A, CDKN1C, SRSF2, FAM64A, CDKN1B, PLK1, BMP7, KIF23, KIF22, CDC14A, CEP57L1, FAM83D, KIF2C, MTBP, TGFA, RANBP1, MASTL, KIF14, CDC6, CDK1, ARHGEF2, KIF11, POGZ, GEN1, DSN1, CCNF, TPX2, NUSAP1, UBE2I, UBE2C, HMGA2, CDK2, FLNA, RBBP8, APITD1, NSL1, KLHL13, BUB1B, MAPRE2, HAUS7, CHFR, HAUS4, SNX18, CETN3, CEP55, IGF1R, NCAPH, CEP57, CENPA, NCAPG, PPP1R12A, MZT1, BUB1, ZWILCH, KIFC5B, CENPN, PDS5B, CEP192, PSRC1, IGF1, CENPE, IGF2, BIRC5, RACGAP1, SMC2, GSG2, CDC25A, SMC4, CENPH, CCNB2, PHF13, KIF20B, ZFP207, CENPW, CENPT, SNX33, MIS18BP1, CIT",1928,418,17911,2.955889287,7.17E-28,1.02E-28,1.65E-28
GOTERM_BP_FAT,GO:0000280~nuclear division,162,7.043478261,1.26E-31,"KIFC1, RAD51C, STIL, SEPT2, SEPT1, EDN1, KNTC1, AURKA, PTTG1, AURKB, ANKLE1, CSNK2A2, CDCA8, RAD21, INCENP, CDCA2, PMS2, CCNA2, STAG2, ASPM, STAG1, CDCA3, SGOL1, PDXP, ESPL1, TOPBP1, TACC3, NCAPD3, NCAPD2, MAD2L1, RCC2, SPAG5, SIAH1A, ZWINT, MCMBP, AKAP8, DSCC1, CCDC8, CEP97, NEK3, NEK2, TIPIN, CEP164, ANLN, CHEK1, MYBL2, CCNG2, SYCP1, SPC24, SPC25, VRK1, NCAPG2, CENPC1, OBSL1, FBXO5, SKA1, HELLS, ERCC6L, MKI67, NUF2, BRCA2, BRIP1, CDC23, CDC20, NDC80, PMF1, CDC27, REEP4, FAM178A, CDKN1C, SRSF2, FAM64A, CDKN1B, PLK1, BMP7, KIF23, KIF22, SPIN1, CDC14A, CEP57L1, MLH1, ACTR3, FAM83D, CCNE1, FANCM, KIF2C, CDC42, MTBP, TGFA, RANBP1, MASTL, TOP2B, TOP2A, KIF14, CDK1, CDC6, ARHGEF2, KIF11, POGZ, GEN1, DSN1, CCNF, TPX2, NUSAP1, UBE2I, UBE2C, HMGA2, FLNA, CDK2, RAD50, RAD51, RBBP8, APITD1, FANCD2, NSL1, KLHL13, BUB1B, MAPRE2, HAUS7, CHFR, HAUS4, SNX18, CETN3, CEP55, IGF1R, NCAPH, CEP57, NCAPG, CENPA, PPP1R12A, MZT1, BUB1, ZWILCH, TRIP13, KIFC5B, CENPN, PDS5B, CEP192, PSRC1, IGF1, CENPE, BIRC5, IGF2, RACGAP1, SMC2, CDC25A, GSG2, SMC4, CENPH, CCNB2, YWHAH, SYDE1, PHF13, CKS2, ZFP207, KIF20B, CHTF18, CENPW, CENPT, SNX33, MIS18BP1, CIT",1928,576,17911,2.612794995,1.10E-27,1.37E-28,2.53E-28
GOTERM_BP_FAT,GO:0048285~organelle fission,163,7.086956522,1.59E-28,"KIFC1, RAD51C, STIL, SEPT2, SEPT1, EDN1, KNTC1, AURKA, PTTG1, AURKB, ANKLE1, CSNK2A2, CDCA8, RAD21, INCENP, CDCA2, PMS2, CCNA2, STAG2, ASPM, STAG1, CDCA3, SGOL1, PDXP, ESPL1, TOPBP1, TACC3, NCAPD3, NCAPD2, MAD2L1, RCC2, SPAG5, SIAH1A, ZWINT, MCMBP, AKAP8, DSCC1, CCDC8, CEP97, NEK3, NEK2, TIPIN, CEP164, ANLN, CHEK1, MYBL2, CCNG2, SYCP1, SPC24, SPC25, VRK1, NCAPG2, CENPC1, OBSL1, FBXO5, SKA1, HELLS, ERCC6L, MKI67, NUF2, BRCA2, BRIP1, CDC23, CDC20, NDC80, PMF1, CDC27, REEP4, FAM178A, CDKN1C, SRSF2, FAM64A, CDKN1B, PLK1, BMP7, KIF23, KIF22, SPIN1, CDC14A, CEP57L1, MLH1, ACTR3, FAM83D, CCNE1, FANCM, KIF2C, CDC42, MTBP, TGFA, RANBP1, MASTL, TOP2B, TOP2A, KIF14, CDK1, CDC6, ARHGEF2, KIF11, POGZ, GEN1, DSN1, CCNF, TPX2, NUSAP1, UBE2I, UBE2C, HMGA2, FLNA, CDK2, RAD50, RAD51, RBBP8, APITD1, FANCD2, NSL1, KLHL13, BUB1B, MAPRE2, HAUS7, CHFR, HAUS4, SNX18, CETN3, CEP55, IGF1R, DDHD1, NCAPH, CEP57, NCAPG, CENPA, PPP1R12A, MZT1, BUB1, ZWILCH, TRIP13, KIFC5B, CENPN, PDS5B, CEP192, PSRC1, IGF1, CENPE, BIRC5, IGF2, RACGAP1, SMC2, CDC25A, GSG2, SMC4, CENPH, CCNB2, YWHAH, SYDE1, PHF13, CKS2, ZFP207, KIF20B, CHTF18, CENPW, CENPT, SNX33, MIS18BP1, CIT",1928,616,17911,2.45821405,1.39E-24,1.55E-25,3.21E-25
GOTERM_BP_FAT,GO:0007059~chromosome segregation,104,4.52173913,1.77E-28,"KIFC1, RAD51C, STIL, SEPT1, AURKB, PTTG1, ANKLE1, CSNK2A2, CDCA8, RAD21, DDX11, INCENP, CDCA2, STAG2, STAG1, SGOL1, ESPL1, TACC3, NCAPD3, ESCO2, NCAPD2, MAD2L1, RCC2, SPAG5, ZWINT, MCMBP, RAD18, AKAP8, DSCC1, NEK3, NEK2, SYCP1, SPC25, CENPC1, SKA1, RECQL4, NUF2, BRCA2, CDC23, BRIP1, NDC80, CDC20, PMF1, CDC27, BRCA1, FAM178A, PLK1, KIF23, KIF22, CDC14A, CEP57L1, MLH1, FAM83D, ACTR3, CCNE1, KIF2C, CDC42, FANCM, MTBP, CDK5RAP2, TOP2B, TOP2A, KIF14, CDC6, KIF11, POGZ, GEN1, DSN1, NUSAP1, UBE2I, UBE2C, ECT2, APITD1, FANCD2, NSL1, BUB1B, SMARCAD1, NCAPH, CEP57, CENPA, HJURP, NCAPG, BUB1, TRIP13, KIFC5B, CENPN, PDS5B, CEP192, PSRC1, CENPE, BIRC5, RACGAP1, SMC2, GSG2, SMC4, CENPH, PHF13, SYDE1, SFPQ, ZFP207, CENPW, CHTF18, CENPT, CIT",1928,299,17911,3.231282699,1.55E-24,1.55E-25,3.57E-25
GOTERM_BP_FAT,GO:0051726~regulation of cell cycle,199,8.652173913,2.07E-28,"KIFC1, RAD51C, EDN1, PRR11, AURKA, AURKB, SHB, ATP2B4, DDX11, CTGF, WDR76, RARA, CCNA2, STAG2, PTPRK, PIM1, SKP2, ESPL1, MIIP, VASH1, BCL2L11, MAD2L1, RCC2, SPAG5, JUN, ZWINT, EIF2AK4, LMNB1, NEK2, AFAP1L2, CHEK1, OBSL1, FBXO5, TCF3, RECQL4, MKI67, CREBBP, CDC23, CDC20, NDC80, GAS1, CDC27, CSPP1, NOTCH2, SRSF5, SFRP1, RNF4, BMP7, CLSPN, EZH2, CCNE1, MTBP, TGFA, MASTL, NR2F2, TOP2B, TOP2A, MYC, CDC7, CDC6, ANP32B, CCNI, GEN1, CCNF, TPX2, MBD4, CLIC1, RAD50, INHBA, CCND1, DACT1, CCND3, CCND2, FOXC1, USP22, PML, FEM1B, MIF, ZFP36L1, BCL2, BUB1, THBS1, ZWILCH, KIFC5B, IGF1, BIRC5, IGF2, FZD3, DOT1L, YWHAH, SFPQ, KIF20B, ZFP207, NEUROD1, PBX1, PTCH1, CIT, RBM14, STIL, CTDSPL, DBF4, KNTC1, SAE1, TGFB2, CSNK2A2, EIF4EBP1, RAD21, MYOCD, CDKN2C, GATA6, ORC1, ASPM, DTL, DDX39B, RBL1, PDXP, TOPBP1, TACC3, RNASEH2B, TRIM37, HHEX, TRIM35, CCDC8, CEP97, HMGB1, TFAP4, BLM, TIPIN, SOX4, GIPC1, TRRAP, SOX9, CCNG2, SRC, NPM1, TRP53, WDR6, BRCA2, ATAD5, 2810417H13RIK, BRCA1, FAM178A, CDKN1C, PLK4, CDKN1B, PLK2, PLK1, CIRBP, ABL1, KIF23, E2F1, E2F2, FOXK1, CDC14A, FIGNL1, E2F7, SLFN9, E2F8, DICER1, AKT1, FAM83D, CDC42, CASP3, ZFYVE19, PRMT2, RANBP1, CDK5RAP2, CASP2, KIF14, CDK1, KIF11, DDB1, SOX11, NUSAP1, CDK6, UBE2C, CDK4, HMGA2, ECT2, LARP7, BUB1B, MDM4, CHFR, ZFP369, WIZ, CKS1B, CRLF3, FOXM1, TCF7L2, RPA3, RPA2, IGF1R, CEP192, PSRC1, CENPE, RACGAP1, GSG2, ID2, CKS2",1928,834,17911,2.216663806,1.81E-24,1.65E-25,4.17E-25
