"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001001504",531.143835699216,-0.38705635444521,0.108223758065409,-3.57522271316973,0.000349929882839807,0.0253566021561745
"NM_001004085",1651.53044954262,-0.371979066108323,0.13913478847326,-3.4957782271893,0.000472681380716629,0.0310551667130825
"NM_001004261",1151.41009989855,0.562751597964388,0.163458377975658,3.409410699037,0.000651033883691419,0.0391066753449383
"NM_001007686",359.374273874925,0.427076209466324,0.10665973524513,4.00464584115141,6.21104631768318e-05,0.00816131486143569
"NM_001007700",2070.0399424808,0.272846259099281,0.068013156006714,4.01183382860862,6.02489041984745e-05,0.00811969847351749
"NM_001007703",224.225307829066,0.410952757820324,0.112346476592975,3.65921727168324,0.0002529867834162,0.0214467505425089
"NM_001007754",85.7460555735985,-0.548243902963789,0.139516019520585,-3.90694568112922,9.34701556210084e-05,0.0105740749866847
"NM_001008526",349.113587664486,-0.506448718852306,0.129911467006157,-3.89905987667761,9.65668948555678e-05,0.0105740749866847
"NM_001009385",4260.25921029511,-0.353786825429985,0.0880536131593748,-4.0183269493197,5.86128318037707e-05,0.00800179334962645
"NM_001009422",1671.68425495534,0.311682493420509,0.0765900206996973,4.06965694380022,4.70824142819058e-05,0.00697084984410414
"NM_001009623",170.237110806511,-0.55661327571275,0.168341440609913,-3.35327593938111,0.000798610445484479,0.0446542181007066
"NM_001009706",1259.45183728547,0.427540731628023,0.123257908982178,3.46516040037011,0.000529915319940035,0.0331575585905336
"NM_001010921",7940.76681218962,0.743075116440637,0.17238190312708,4.18718219410965,2.82439096606137e-05,0.00502331500483835
"NM_001010946",170.323254521415,0.47170786446873,0.136597217526873,3.45118596848631,0.000558128847808509,0.0343102365389652
"NM_001011665",1383.96436034747,0.262156479042331,0.0744776584146052,3.52016990866116,0.000431270432636864,0.0288758903686542
"NM_001011979",2084.48575929295,-0.315555405890309,0.0893840424616654,-3.53046436507296,0.000414830891674356,0.028501322439744
"NM_001012742",120.595516703602,-0.690271287113418,0.164813897974776,-4.2234493086409,2.40591503064839e-05,0.00449264507399271
"NM_001013109",289.712525326812,-0.552448242941661,0.120937793526255,-4.56280373991641,5.04749938928075e-06,0.00139049838501477
"NM_001013148",299.574054638884,-0.551992559430773,0.132453475889467,-4.16758886576592,3.07838516230144e-05,0.0051461215088382
"NM_001013189",2390.52419163425,-0.403119566138302,0.0744124340943526,-5.41688109458384,6.06476436930046e-08,3.54182239167147e-05
"NM_001013243",110.126587399309,-0.487479950690303,0.15776159361038,-3.57557675867987,0.000349456621469106,0.0253566021561745
"NM_001013889",540.990079891261,-0.59502471824724,0.172430812098463,-3.60950354021426,0.000306783587231353,0.0242474366088419
"NM_001013919",437.172933054913,0.340067641212991,0.0964386657557196,3.52707306105172,0.000420180801007085,0.0285440654808542
"NM_001014041",186.303117587745,-0.724880099383677,0.166426274804249,-4.41993038923648,9.87326998443764e-06,0.00247113843039068
"NM_001014247",157.652771814201,0.449366511763864,0.129190953392129,3.47808544731219,0.000505008913804261,0.0325169264567985
"NM_001015010",174.66695244055,-0.5755911207547,0.154542665775532,-4.77079860758735,1.83496936805715e-06,0.000622232193452153
"NM_001017382",88.5813133671535,0.533067917948399,0.153455347798117,3.46598132058127,0.000528299982006087,0.0331575585905336
"NM_001025734",378.583909349506,0.367701575201185,0.102213202644715,3.59810573868636,0.0003205433055401,0.0244170378828806
"NM_001025773",206.86993441756,0.582143326585517,0.162622066001484,3.39911679965849,0.000676038395149315,0.0396738197626266
"NM_001033066",750.439783919187,1.053213357303,0.171301589145003,5.87188374633308,4.30870861428653e-09,4.11755863212545e-06
"NM_001034004",489.727266604666,0.4165138681911,0.114602449603271,3.63350834391983,0.000279593401080156,0.0227836111019736
"NM_001034125",493.467259719955,-0.546448898197558,0.165934405282058,-3.66199303550232,0.000250260664865055,0.0214467505425089
"NM_001034947",616.744694058789,0.327373637203471,0.0782685262977581,4.18376627816104,2.86718892970225e-05,0.00502331500483835
"NM_001034951",2005.37305271146,-0.440152110466575,0.129853823211123,-3.39497822285864,0.000686340595636458,0.0398608416648091
"NM_001037354",218.128937906035,-0.570558383381752,0.172314274608549,-3.45891188473992,0.000542362307222698,0.0337355773581361
"NM_001039691",22.2850633332298,0.598959326293391,0.135133689252223,4.24819225765902,2.15502419057926e-05,0.00427426684742814
"NM_001044281",107.642736192021,0.5465694648269,0.152126597312896,3.58348814378184,0.000339036159992142,0.0250982261537845
"NM_001047085",2270.20123804145,-0.374485088833106,0.109215876125387,-3.43041147164525,0.000602666592868917,0.0368327396758027
"NM_001079894",531.196570540447,-0.521725459405823,0.131506447877878,-3.9717844336338,7.13362588463641e-05,0.00872412499055322
"NM_001100512",8508.99167362952,-0.564843923543964,0.125396586395267,-4.51302173334935,6.39104701532256e-06,0.00163860210305051
"NM_001100704",86.4821080319698,0.600729546645296,0.158523779714121,3.77524591767134,0.000159849886273548,0.0154159816927297
"NM_001105742",909.99961163878,-0.398083372730889,0.0932783175438229,-4.26668127223714,1.98402293960336e-05,0.00417120982822211
"NM_001105807",365.605683406675,-0.557220709715713,0.145841875291706,-3.83121572808983,0.000127511640907946,0.0126453053700409
"NM_001105911",46.7908831003764,-0.586880964780086,0.1707706311173,-3.59996012651367,0.000318265981144004,0.0244170378828806
"NM_001105962",1550.69832679537,-0.480253518398531,0.138432106108023,-3.47816547723388,0.000504858154259385,0.0325169264567985
"NM_001106265",2007.06534594364,0.810584840767112,0.106419607945742,7.60964576879029,2.7484816822445e-14,5.77840788875083e-11
"NM_001106356",964.734989878019,-0.450709884782466,0.132124776271363,-3.41647483718633,0.000634375261742796,0.0385465476961865
"NM_001106468",240.129221682016,-0.440961190833276,0.12239187533923,-3.5989187161803,0.000319543038227006,0.0244170378828806
"NM_001106563",1249.80012156732,-0.36263910110913,0.0825150371965368,-4.3940898101166,1.11237824912199e-05,0.00271937678017915
"NM_001106880",713.04282626868,-0.477179388471516,0.109657106713922,-4.35135401779056,1.35299390635011e-05,0.00316059376523386
"NM_001107095",407.966162137927,-0.563984976366185,0.171657626769567,-3.37804236176638,0.000730038335501991,0.0414819620691726
"NM_001107184",1518.10308108557,-0.349282362366114,0.0799935646346998,-4.36577917720502,1.26670400133379e-05,0.00302627101409563
"NM_001107240",435.821581066993,-0.554749301058124,0.142404130122264,-3.90465734043313,9.43589861292142e-05,0.0105740749866847
"NM_001107417",22.9905952776494,-0.643891512066736,0.167607357844035,-4.00714637960726,6.14567769943519e-05,0.00816131486143569
"NM_001107464",76.6689765495675,-0.806116727458503,0.172439813061342,-4.86412256754307,1.14965658995342e-06,0.000431613931199654
"NM_001107566",1086.55316495772,-0.503230023550032,0.124862151068461,-4.03486397439526,5.46339390606567e-05,0.00765749289874164
"NM_001107638",153.478595332937,0.728935885470056,0.171254168813071,4.1732286037991,3.00313342838951e-05,0.0051461215088382
"NM_001107646",1120.82355147096,0.306242730718049,0.0880803500419666,3.47687004180309,0.000507303647157054,0.0325169264567985
"NM_001107657",1134.24423429039,-0.46112272860376,0.116622673127053,-3.95609399254921,7.61851957166591e-05,0.00920527330314392
