"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001001505",3450.00893787603,-0.978142743311784,0.147379988006368,-6.64610649700444,3.00947547145511e-11,5.63031350702749e-09
"NM_001001509",6926.18211829732,-0.847558115864037,0.23214012961304,-3.89785299390027,9.70492977263585e-05,0.00304358939199051
"NM_001001511",107.976919103805,-0.836369178106615,0.212607793964633,-3.95949673271045,7.51078719505036e-05,0.00246222211037738
"NM_001001512",3043.5576744089,-0.337176455861768,0.113268682234153,-2.97711674922136,0.00290973183287503,0.0405308088812925
"NM_001002835",1054.04832520842,-0.442967593606725,0.14545016353283,-3.04684946174372,0.00231253493145632,0.034233719701545
"NM_001002854",588.137712642659,0.493294269375591,0.146462323654466,3.36638623056135,0.000761599908504872,0.0150256738312479
"NM_001003409",42.1237830253654,-0.764477874202056,0.232058951161225,-3.44093362414627,0.000579710723863046,0.012310060791855
"NM_001003959",247.444991438132,-0.612301304472231,0.179364626367962,-3.41825600563314,0.000630237968756498,0.0131767094392616
"NM_001004087",39.772678565262,-0.785224599666917,0.219613859239685,-3.57520941896228,0.000349947665207316,0.00841969426865762
"NM_001004201",19.4738697478857,0.708124916386529,0.232169756975963,2.99863641080407,0.00271190725588351,0.038668732764247
"NM_001004218",389.122923482459,0.299519210617892,0.103703717762076,2.88900051468754,0.00386468441569493,0.0491625915529961
"NM_001004220",3730.70440971228,-0.427476424690401,0.125209952163196,-3.41497397337647,0.000637881063134294,0.0132853117390983
"NM_001004221",1114.6383720216,0.315800629931518,0.0854345199589165,3.69669843448948,0.000218421543481865,0.0057948463773147
"NM_001004223",3314.21291629303,0.353272911175054,0.115730310525974,3.05209252100966,0.0022725204299512,0.0339657289055103
"NM_001004231",199.115786331196,0.509621334655712,0.161124795905904,3.16152767479623,0.0015694390419464,0.0257536452421397
"NM_001004271",23844.9297679779,0.806287989549273,0.172219475057812,4.66866839819073,3.03158232442739e-06,0.000162047782277643
"NM_001005384",227.648824237762,1.56057680612778,0.210240095806708,7.31181970962552,2.63548576956179e-13,7.14941402137875e-11
"NM_001005538",344.756794149839,0.38726026454428,0.120766941588826,3.20737106251149,0.00133954092985061,0.0231454755251735
"NM_001005556",852.083963124194,-0.480226488464053,0.130185106080772,-3.68901190104137,0.000225126689445697,0.00591489033214348
"NM_001005889",6043.72448597502,-0.374446652345978,0.105486640515764,-3.55004488288284,0.0003851654780827,0.00896873519887421
"NM_001005908",7210.79821128186,0.39892597076625,0.129525426575764,3.07888450527237,0.00207777214259006,0.0318444993209671
"NM_001006959",146.688892599505,0.535344284415844,0.169010210431195,3.16645675071946,0.00154308290318326,0.0254467972377531
"NM_001006987",1564.50855086725,-0.447141421110855,0.153491812595769,-2.91515479252424,0.00355512165134891,0.0462549460896727
"NM_001006992",7571.32364095126,-0.702924779800676,0.129966211974544,-5.41174087840165,6.24149628276681e-08,5.50621757433355e-06
"NM_001007091",895.253767835722,0.287700168669002,0.094380546117401,3.04863856176244,0.0022988087376808,0.0341934405820975
"NM_001007144",6874.08378713515,-0.944903439063202,0.221171452602237,-4.3815952730521,1.1781350610704e-05,0.000523932112609626
"NM_001007145",2451.39091150118,0.276553146916859,0.0767774066428313,3.60212273638878,0.000315629270081701,0.00776619775432322
"NM_001007149",53.6303651923946,0.615503120992005,0.200901280502122,3.06248203107179,0.00219509654126808,0.0331279451589706
"NM_001007264",17024.6694979985,0.873293311622112,0.162534527961243,5.36100008662392,8.2762478108162e-08,6.85538664085241e-06
"NM_001007600",69.8520061161599,0.980652669954374,0.218336382728501,4.44573759176598,8.75908138191215e-06,0.000404445923723952
"NM_001007613",9240.64261413929,-0.280626231261411,0.0771408614616069,-3.63786450904827,0.000274907970565063,0.00696968782383527
"NM_001007615",1035.31839682421,-0.418082372947336,0.123758773697414,-3.37812446104651,0.000729820406482666,0.0146653356124878
"NM_001007643",836.328390213128,0.587231664651327,0.156832298600932,3.74056218248746,0.000183609112688781,0.00509568513564177
"NM_001007651",921.648612393727,0.393260042803561,0.0736940075378841,5.33719667676536,9.43946313042359e-08,7.70132439309973e-06
"NM_001007658",325.378284567216,1.22247990956305,0.140186240015971,8.71347534385671,2.9469780220396e-18,1.33240243821465e-15
